mirna	target_gene	score
hsa-miR-551b-5p	VGLL3	0.9267656
hsa-miR-4262	MAMDC2	0.9267589
hsa-miR-206	MATR3	0.9266907
hsa-miR-548x-3p	WNT5A	0.92654556
hsa-miR-3167	NRP2	0.92645794
hsa-miR-23a-3p	GNG2	0.92644995
hsa-miR-548ae-5p	LPP	0.9264474
hsa-miR-3652	SDC3	0.92643976
hsa-miR-548ar-3p	TFRC	0.9263086
hsa-miR-4262	TGFBR1	0.926306
hsa-miR-221-3p	LHFPL2	0.9262551
hsa-miR-548j-5p	NOTCH2	0.9262544
hsa-miR-2276-5p	RASSF3	0.92624485
hsa-miR-206	EDN1	0.9262384
hsa-miR-548x-3p	SLC7A11	0.9261015
hsa-miR-3658	PHACTR2	0.9260659
hsa-miR-3616-5p	CLC	0.9259257
